WBS ID,도메인,작업명,설명,담당자,시작일,종료일,상태
CMN-1.1,공통,프로젝트 초기 환경 설정,"Spring Boot 및 React 세팅 & GitHub 레포지토리 구성",전체,2026-04-01,2026-04-02,진행전
USR-1.1,인증/사용자(User/Auth),DB 및 엔티티 구현,"USERS / REFRESH_TOKEN 테이블 설계 및 JPA 엔티티 구현",팀원 1,2026-04-01,2026-04-03,진행전
USR-1.2,인증/사용자(User/Auth),BFF/Gateway 보안 설정,"JWT 인증 필터 / 라우팅 규칙(GW-ROUTE-01) 및 인가(GW-AUTH-01) 적용",팀원 1,2026-04-04,2026-04-06,진행전
USR-1.3,인증/사용자(User/Auth),가입/로그인 API 및 UI,"CMN-AUTH-00~03: 회원가입, 로그인, 로그아웃, 토큰 갱신 UI/API 구현",팀원 1,2026-04-07,2026-04-11,진행전
USR-1.4,인증/사용자(User/Auth),내 정보 관리 및 탈퇴,"CMN-PRF-01~04: 회원정보 조회/수정, 비밀번호 변경, 회원 탈퇴 API 및 UI",팀원 1,2026-04-12,2026-04-15,진행전
USR-1.5,인증/사용자(User/Auth),사용자 권한 통합 테스트,"역할(USER/RESIDENT/ADMIN) 변경 및 권한 제어 통합 검증",팀원 1,2026-04-16,2026-04-18,진행전
USR-1.6,인증/사용자(User/Auth),인증 기능 버그 수정 및 최적화,"전체 인증/사용자 기능 안정화",팀원 1,2026-04-19,2026-04-20,진행전
SPC-2.1,공간/관리자(Space),DB 및 엔티티 구현,"SPACE 및 상속 데이터(PRIVATE/COMMON_SPACE) 테이블 설계 및 엔티티 구현",팀원 2,2026-04-01,2026-04-03,진행전
SPC-2.2,공간/관리자(Space),관리자 공간 CRUD API/UI,"ADM-SPC-01~03: 공간 등록, 수정 및 상세 조회 기능 구현",팀원 2,2026-04-04,2026-04-06,진행전
SPC-2.3,공간/관리자(Space),유저 방 조회 API/UI,"USR-ROM-01~02: 방 둘러보기, 방 상세 정보 조회(이미지 / 시설) UI 병행 구현",팀원 2,2026-04-07,2026-04-10,진행전
SPC-2.4,공간/관리자(Space),관리자 공간 배치 대시보드 UI,"ADM-SPC-00: Drag&Drop 지원 층별 평면도 및 블록 배치 구현",팀원 2,2026-04-11,2026-04-15,진행전
SPC-2.5,공간/관리자(Space),메인 대시보드 연동,"ADM-DSH-01: 실시간 입주/기기 상태 및 예약 위젯 요약 기능 구현",팀원 2,2026-04-16,2026-04-18,진행전
SPC-2.6,공간/관리자(Space),공간 기능 버그 수정 및 최적화,"Space 모듈 성능 개선",팀원 2,2026-04-19,2026-04-20,진행전
CTR-3.1,계약/정산(Contract),DB 및 엔티티 구현,"CONTRACT 및 PAYMENT 테이블 설계 및 JPA 엔티티 구현",팀원 3,2026-04-01,2026-04-03,진행전
CTR-3.2,계약/정산(Contract),유저 계약 신청 API/UI,"USR-CTR-00~00-1: 방 신청 및 내 계약 신청 현황(임시저장) 구현",팀원 3,2026-04-04,2026-04-07,진행전
CTR-3.3,계약/정산(Contract),관리자 계약 승인 시스템,"ADM-BKG-01: 계약 조건 확정 및 신청서 승인/거절 처리 기능",팀원 3,2026-04-08,2026-04-10,진행전
CTR-3.4,계약/정산(Contract),계약 체결 및 조회 기능,"USR-CTR-01~02 & RES-CTR-01~02: 최종 계약 동의 및 이력 조회 기능",팀원 3,2026-04-11,2026-04-13,진행전
CTR-3.5,계약/정산(Contract),관리자 직접 계약 등록/해지,"ADM-CTR-01~04: 오프라인 계약 대응 등 수동 생성/만료/해지 처리 (권한 강등포함)",팀원 3,2026-04-14,2026-04-16,진행전
CTR-3.6,계약/정산(Contract),결제 시스템 연동,"ADM-BIL-01: 월세/시설 이용료 명세서 및 가상 PG 승인 기능 연계",팀원 3,2026-04-17,2026-04-18,진행전
CTR-3.7,계약/정산(Contract),계약 기능 버그 수정 및 최적화,"상태 머신 흐름 검증 및 보완",팀원 3,2026-04-19,2026-04-20,진행전
RSV-4.1,예약/시설(Reservation),DB 및 엔티티 구현,"RESERVATION 관련 테이블 연계 설계 확인 및 엔티티 개발",팀원 4,2026-04-01,2026-04-03,진행전
